Author;Site;Product;Order.Specie;n.e;mean.e;sd.e;n.c;mean.c;sd.c
Rumschlag et al. 2020-25;Pennsylvania Furlance, EEUU;Herbicide;Cladocera;4;38,8;20,66325241;4;79,1;37,86590375
Rumschlag et al. 2020-26;Pennsylvania Furlance, EEUU;Herbicide;Cladocera;4;11,7;3,065941943;4;39,8;10,51348341
Rumschlag et al. 2020-27;Pennsylvania Furlance, EEUU;Herbicide;Anomopoda;4;21;22,93294573;4;27,15;51,23342008
Rumschlag et al. 2020-28;Pennsylvania Furlance, EEUU;Herbicide;Cladocera;4;59,8;42,51086136;4;398,45;319,3090196
Rumschlag et al. 2020-29;Pennsylvania Furlance, EEUU;Herbicide;Copepoda;4;32,1;39,70440782;4;39;19,00596398
Rumschlag et al. 2020-30;Pennsylvania Furlance, EEUU;Herbicide;Copepoda;4;18,1;5,531425374;4;47,8;25,9327335
Rumschlag et al. 2020-31;Pennsylvania Furlance, EEUU;Insecticide;Cladocera;4;0,5;0,525991128;4;79,1;37,86590375
Rumschlag et al. 2020-32;Pennsylvania Furlance, EEUU;Insecticide;Cladocera;4;0;0;4;39,8;10,51348341
Rumschlag et al. 2020-33;Pennsylvania Furlance, EEUU;Insecticide;Anomopoda;4;0,1;0,115470054;4;27,15;51,23342008
Rumschlag et al. 2020-34;Pennsylvania Furlance, EEUU;Insecticide;Cladocera;4;0,3;0,37859389;4;398,45;319,3090196
Rumschlag et al. 2020-35;Pennsylvania Furlance, EEUU;Insecticide;Copepoda;4;155,6;45,24569961;4;39;19,00596398
Rumschlag et al. 2020-36;Pennsylvania Furlance, EEUU;Insecticide;Copepoda;4;30,9;16,60722734;4;47,8;25,9327335
Rumschlag et al. 2020-37;Pennsylvania Furlance, EEUU;Insecticide;Cladocera;4;1,1;1,723368794;4;79,1;37,86590375
Rumschlag et al. 2020-38;Pennsylvania Furlance, EEUU;Insecticide;Cladocera;4;0;0;4;39,8;10,51348341
Rumschlag et al. 2020-39;Pennsylvania Furlance, EEUU;Insecticide;Anomopoda;4;0;0;4;27,15;51,23342008
Rumschlag et al. 2020-40;Pennsylvania Furlance, EEUU;Insecticide;Cladocera;4;4,6;9,067156849;4;398,45;319,3090196
Rumschlag et al. 2020-41;Pennsylvania Furlance, EEUU;Insecticide;Copepoda;4;395,5;368,9936765;4;39;19,00596398
Rumschlag et al. 2020-42;Pennsylvania Furlance, EEUU;Insecticide;Copepoda;4;1,5;1,351542329;4;47,8;25,9327335
Rumschlag et al. 2020-43;Pennsylvania Furlance, EEUU;Insecticide;Cladocera;4;0,2;0,191485422;4;79,1;37,86590375
Rumschlag et al. 2020-44;Pennsylvania Furlance, EEUU;Insecticide;Cladocera;4;0;0;4;39,8;10,51348341
Rumschlag et al. 2020-45;Pennsylvania Furlance, EEUU;Insecticide;Anomopoda;4;0;0;4;27,15;51,23342008
Rumschlag et al. 2020-46;Pennsylvania Furlance, EEUU;Insecticide;Cladocera;4;0,7;1,148912529;4;398,45;319,3090196
Rumschlag et al. 2020-47;Pennsylvania Furlance, EEUU;Insecticide;Copepoda;4;536,7;122,326067;4;39;19,00596398
Rumschlag et al. 2020-48;Pennsylvania Furlance, EEUU;Insecticide;Copepoda;4;7,9;9,443869264;4;47,8;25,9327335
Rumschlag et al. 2020-49;Pennsylvania Furlance, EEUU;Herbicide;Cladocera;4;23,6;19,03146517;4;79,1;37,86590375
Rumschlag et al. 2020-50;Pennsylvania Furlance, EEUU;Herbicide;Cladocera;4;23,1;18,66645833;4;39,8;10,51348341
Rumschlag et al. 2020-51;Pennsylvania Furlance, EEUU;Herbicide;Anomopoda;4;2,6;3,011090611;4;27,15;51,23342008
Rumschlag et al. 2020-52;Pennsylvania Furlance, EEUU;Herbicide;Cladocera;4;134,1;81,7;4;398,45;319,3090196
Rumschlag et al. 2020-53;Pennsylvania Furlance, EEUU;Herbicide;Copepoda;4;60,5;50,44984308;4;39;19,00596398
Rumschlag et al. 2020-54;Pennsylvania Furlance, EEUU;Herbicide;Copepoda;4;20,2;12,9031004;4;47,8;25,9327335
Rumschlag et al. 2020-55;Pennsylvania Furlance, EEUU;Herbicide;Cladocera;4;32,8;16,80267836;4;79,1;37,86590375
Rumschlag et al. 2020-56;Pennsylvania Furlance, EEUU;Herbicide;Cladocera;4;23,9;10,46199471;4;39,8;10,51348341
Rumschlag et al. 2020-57;Pennsylvania Furlance, EEUU;Herbicide;Anomopoda;4;16,2;19;4;27,15;51,23342008
Rumschlag et al. 2020-58;Pennsylvania Furlance, EEUU;Herbicide;Cladocera;4;85,3;49,8;4;398,45;319,3090196
Rumschlag et al. 2020-59;Pennsylvania Furlance, EEUU;Herbicide;Copepoda;4;42,7;38,22507903;4;39;19,00596398
Rumschlag et al. 2020-60;Pennsylvania Furlance, EEUU;Herbicide;Copepoda;4;24,2;11,90672079;4;47,8;25,9327335
Rumschlag et al. 2020-61;Pennsylvania Furlance, EEUU;Herbicide;Cladocera;4;44,5;42,29940898;4;79,1;37,86590375
Rumschlag et al. 2020-62;Pennsylvania Furlance, EEUU;Herbicide;Cladocera;4;11,5;10,8400492;4;39,8;10,51348341
Rumschlag et al. 2020-63;Pennsylvania Furlance, EEUU;Herbicide;Anomopoda;4;15,2;17,7;4;27,15;51,23342008
Rumschlag et al. 2020-64;Pennsylvania Furlance, EEUU;Herbicide;Cladocera;4;71,5;45,9;4;398,45;319,3090196
Rumschlag et al. 2020-65;Pennsylvania Furlance, EEUU;Herbicide;Copepoda;4;56,5;34,69120926;4;39;19,00596398
Rumschlag et al. 2020-66;Pennsylvania Furlance, EEUU;Herbicide;Copepoda;4;29,6;24,16850568;4;47,8;25,9327335
Rumschlag et al. 2020-67;Pennsylvania Furlance, EEUU;Insecticide;Cladocera;4;0;0;4;79,1;37,86590375
Rumschlag et al. 2020-68;Pennsylvania Furlance, EEUU;Insecticide;Cladocera;4;0;0;4;39,8;10,51348341
Rumschlag et al. 2020-69;Pennsylvania Furlance, EEUU;Insecticide;Anomopoda;4;0;0;4;27,15;51,23342008
Rumschlag et al. 2020-70;Pennsylvania Furlance, EEUU;Insecticide;Cladocera;4;0,4;0,5;4;398,45;319,3090196
Rumschlag et al. 2020-71;Pennsylvania Furlance, EEUU;Insecticide;Copepoda;4;591,4;201,4584821;4;39;19,00596398
Rumschlag et al. 2020-72;Pennsylvania Furlance, EEUU;Insecticide;Copepoda;4;0,7;0,550757055;4;47,8;25,9327335
Sumon et al. 2018-1;Mymensingh, Bangladesh;Insecticide;Copepoda;21;8,3;1,5;21;10;0
Sumon et al. 2018-2;Mymensingh, Bangladesh;Insecticide;Copepoda;21;5,7;0,6;21;10;0
Sumon et al. 2018-3;Mymensingh, Bangladesh;Insecticide;Copepoda;21;4,3;1,2;21;10;0
Sumon et al. 2018-4;Mymensingh, Bangladesh;Insecticide;Copepoda;21;3,3;0,6;21;10;0
Sumon et al. 2018-5;Mymensingh, Bangladesh;Insecticide;Copepoda;21;3;1;21;10;0
Geyer et al. 2016-1;Graville, USA;Herbicide;Cladocera;4;0,13;0,06;4;0,73;0,37
Geyer et al. 2016-2;Graville, USA;Herbicide;Cladocera;4;2,89;1,31;4;0,73;0,37
Leboulanger et al. 2011-1;Mayote Island, Mozambique;Herbicide;Rotifera;3;26,14;4,17;3;18,06;8,9
Leboulanger et al. 2011-2;Mayote Island, Mozambique;Herbicide;Rotifera;3;14,18;3,92;3;18,06;8,9
Leboulanger et al. 2011-3;Mayote Island, Mozambique;Herbicide;Rotifera;3;9,12;2,24;3;18,06;8,9
Leboulanger et al. 2011-4;Mayote Island, Mozambique;Herbicide;Rotifera;3;1,39;0,74;3;18,06;8,9
Leboulanger et al. 2011-5;Mayote Island, Mozambique;Insecticide;Rotifera;3;32,38;5,72;3;18,06;8,9
Leboulanger et al. 2011-6;Mayote Island, Mozambique;Insecticide;Rotifera;3;32,56;7,06;3;18,06;8,9
Leboulanger et al. 2011-7;Mayote Island, Mozambique;Herbicide;Cladocera;3;2,27;4,17;3;2,06;0,31
Leboulanger et al. 2011-8;Mayote Island, Mozambique;Herbicide;Cladocera;3;0,77;3,92;3;2,06;0,15
Leboulanger et al. 2011-9;Mayote Island, Mozambique;Herbicide;Cladocera;3;1,54;2,24;3;2,06;0,91
Leboulanger et al. 2011-10;Mayote Island, Mozambique;Herbicide;Cladocera;3;0,05;0,74;3;2,06;0,05
Leboulanger et al. 2011-11;Mayote Island, Mozambique;Insecticide;Cladocera;3;0;5,72;3;2,06;0
Leboulanger et al. 2011-12;Mayote Island, Mozambique;Insecticide;Cladocera;3;0;7,06;3;2,06;0
Leboulanger et al. 2011-13;Mayote Island, Mozambique;Herbicide;Copepoda;3;32,62;4,17;3;33,05;8,94
Leboulanger et al. 2011-14;Mayote Island, Mozambique;Herbicide;Copepoda;3;25,42;3,92;3;33,05;3,24
Leboulanger et al. 2011-15;Mayote Island, Mozambique;Herbicide;Copepoda;3;22,57;2,24;3;33,05;2,98
Leboulanger et al. 2011-16;Mayote Island, Mozambique;Herbicide;Copepoda;3;6,14;0,74;3;33,05;1,37
Leboulanger et al. 2011-17;Mayote Island, Mozambique;Insecticide;Copepoda;3;28,91;5,72;3;33,05;2,73
Leboulanger et al. 2011-18;Mayote Island, Mozambique;Insecticide;Copepoda;3;21,92;7,06;3;33,05;1,34